order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDY01942,2018-06-26,13:44:47,Lunch,TP,"[('Steak', 10), ('Fries', 4), ('Chicken', 8), ('Salad', 7)]",874.4,-37.8258356,144.9844247,0,8.92,12.345871
ORDI04117,2018-09-18,16:37:10,Lunch,NS,"[('Fish&Chips', 4), ('Salmon', 2)]",222.0,-37.8079237,144.9492737,0,8.655,13.9995223
ORDX04240,2018-09-12,16:27:02,Dinner,BK,"[('Fish&Chips', 10), ('Pasta', 8)]",570.0,-37.8000294,144.9999439,0,5.311,12.1315182
ORDI00291,2018-07-14,14:25:21,Lunch,BK,"[('Chicken', 10), ('Burger', 9), ('Salad', 4), ('Steak', 9), ('Fries', 4)]",1120.8,-37.8221843,144.947702,0,9.951,17.2915981
ORDB06629,2018-03-14,10:21:58,Breakfast,TP,"[('Eggs', 6), ('Coffee', 3)]",154.5,-37.7990483,144.9324169,0,10.232,14.5281877
ORDB06077,2018-04-30,11:53:14,Breakfast,TP,"[('Eggs', 7), ('Cereal', 7), ('Pancake', 5), ('Coffee', 8)]",482.25,-37.8046905,144.9731711,0,9.633,12.3673079
ORDY06729,2018-02-12,09:21:07,Breakfast,TP,"[('Pancake', 5), ('Coffee', 5)]",158.75,-37.8140499,144.9716334,0,8.443,10.983597
ORDZ04723,2018-01-13,08:20:16,Breakfast,bk,"[('Pancake', 5), ('Cereal', 2), ('Coffee', 5), ('Eggs', 4)]",288.75,-37.8215124,144.9450873,1,10.003,8.4457374
ORDY08327,2018-02-13,09:21:07,Dinner,TP,"[('Eggs', 9), ('Pancake', 7)]",367.75,-37.8029182,144.9281234,0,11.512,13.6769524
ORDC01621,07-03-2018,10:11:49,Breakfast,NS,"[('Eggs', 10), ('Cereal', 5), ('Pancake', 2), ('Coffee', 4)]",403.5,-37.8078707,144.9730414,0,7.077,12.0038061
ORDK02917,2018-05-18,12:33:48,Lunch,BK,"[('Salad', 5), ('Burger', 6), ('Steak', 8), ('Chicken', 1), ('Fries', 8)]",760.0,-37.8014372,144.9567869,0,8.382,13.9980578
ORDB06075,2018-08-04,15:05:54,Lunch,TP,"[('Steak', 6), ('Chicken', 7), ('Fries', 8)]",590.0,-37.8032893,144.9497951,0,9.946,14.463608
ORDB01198,2018-03-21,10:32:06,Breakfast,TP,"[('Eggs', 2), ('Coffee', 2)]",59.0,37.8134507,144.960142,0,8.399,11.1338292
ORDZ02742,2018-01-24,08:40:33,Breakfast,NS,"[('Coffee', 2), ('Cereal', 5)]",120.0,-37.8131242,144.9630993,1,7.927,12.6142837
ORDX05994,2018-09-16,16:27:02,Dinner,BK,"[('Shrimp', 6), ('Fish&Chips', 9)]",639.0,-37.8212395,144.9574733,0,8.458,17.1792036
ORDK00765,2018-06-18,13:34:38,Lunch,bk,"[('Burger', 1), ('Salad', 5)]",117.0,-37.8227158,145.0154707,0,4.77,10.4574241
ORDZ06448,2018-02-17,09:31:16,Breakfast,NS,"[('Cereal', 9), ('Eggs', 10), ('Pancake', 6), ('Coffee', 8)]",191.0,-37.8274886,144.987492,0,9.944,16.9426896
ORDC05234,10-04-2018,11:12:40,Breakfast,NS,"[('Eggs', 8), ('Cereal', 4), ('Pancake', 8)]",454.0,-37.8003993,144.9704612,0,6.115,11.1876374
ORDI07053,2018-09-07,16:16:54,Lunch,NS,"[('Pasta', 6), ('Fish&Chips', 10), ('Salmon', 6)]",761.0,-37.8204535,144.9769006,0,8.88,15.1232572
ORDC08277,2018-06-19,13:34:38,Lunch,NS,"[('Salad', 3), ('Chicken', 3)]",147.6,-37.8246087,145.0050343,0,8.919,16.3846955
ORDJ00965,2018-05-19,12:33:48,Lunch,TP,"[('Steak', 2), ('Chicken', 10)]",410.0,-37.8014629,145.0065284,0,12.443,16.7949032
ORDK09892,10-08-2018,15:16:03,Lunch,BK,"[('Steak', 2), ('Burger', 2)]",152.0,-37.817031,144.9520465,0,10.209,16.8486582
ORDJ09253,2018-05-07,12:03:22,Lunch,TP,"[('Salad', 1), ('Burger', 1), ('Steak', 10), ('Fries', 8), ('Chicken', 4)]",722.2,-37.7993383,144.9743813,0,10.232,12.9274374
ORDY06762,2018-10-13,17:27:53,Lunch,TP,"[('Fish&Chips', 1), ('Salmon', 8), ('Shrimp', 7)]",741.0,-37.8206648,144.9566673,0,8.025,13.7221307
