order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDZ04713,2018-01-20,08:30:25,Breakfast,NS,"[('Cereal', 3), ('Eggs', 3)]",129.0,-37.804112,144.9739368,0,6.671,13.1677389
ORDC04664,2018-11-28,18:59:09,Dinner,NS,"[('Salmon', 8), ('Pasta', 5), ('Fish&Chips', 6), ('Shrimp', 10)]",1215.5,-37.8166437,144.9763068,0,8.297,14.251903
ORDC07657,2018-02-23,09:41:24,Breakfast,,"[('Eggs', 3), ('Pancake', 1), ('Coffee', 3)]",112.75,-37.8066191,144.9324223,0,,15.2087654
ORDC09481,2018-04-06,11:02:32,Breakfast,NS,"[('Coffee', 4), ('Pancake', 2), ('Eggs', 2)]",122.5,-37.8028201,144.9956864,0,8.487,13.5431211
ORDB00204,2018-12-05,19:09:17,Dinner,TP,"[('Pasta', 4), ('Salmon', 6), ('Fish&Chips', 5), ('Shrimp', 10)]",1071.0,-37.8207182,144.954738,0,8.231,13.0906983
ORDB01589,2018-06-22,13:34:38,Lunch,TP,"[('Burger', 9), ('Fries', 4)]",327.0,-37.8043742,145.0013652,0,11.756,15.1077878
ORDX04944,2018-04-07,11:02:32,Breakfast,BK,"[('Coffee', 8), ('Eggs', 10), ('Pancake', 2), ('Cereal', 4)]",412.5,-37.8227021,145.0076149,0,4.555,
ORDX06289,2018-08-22,15:46:28,Lunch,BK,"[('Salad', 10), ('Steak', 9), ('Burger', 5), ('Fries', 3), ('Chicken', 3)]",864.0,-37.8225531,144.9402911,0,10.217,16.1630449
ORDC09624,2018-07-17,14:25:21,Lunch,NS,"[('Salad', 3), ('Chicken', 4), ('Burger', 1), ('Fries', 6), ('Steak', 6)]",552.6,-37.8063179,144.9404614,0,10.235,15.6994465
ORDC02404,2018-03-09,10:11:49,Breakfast,NS,"[('Coffee', 5), ('Pancake', 2), ('Cereal', 6), ('Eggs', 7)]",366.0,-37.8061836,144.9588416,0,7.694,12.9095911
ORDA02611,2018-01-05,08:00:00,Breakfast,,"[('Pancake', 9), ('Coffee', 9)]",285.75,-37.8128964,144.9372226,1,,7.7739824
