order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDY01942,2018-06-26,13:44:47,Lunch,TP,"[('Steak', 10), ('Fries', 4), ('Chicken', 8), ('Salad', 7)]",874.3999999999995,-37.825835600000005,144.9844247,0,8.92,12.345871
ORDI04117,2018-09-18,16:37:10,Dinner,NS,"[('Fish&Chips', 4), ('Salmon', 2)]",222.00000000000006,-37.8079237,144.9492737,0,8.655,13.9995223
ORDX04240,2018-09-12,16:27:02,Dinner,BK,"[('Fish&Chips', 10), ('Pasta', 8)]",570.0,-37.8000294,144.9999439,0,5.311,12.131518199999999
ORDI00291,2018-07-14,14:25:21,Lunch,NS,"[('Chicken', 10), ('Burger', 9), ('Salad', 4), ('Steak', 9), ('Fries', 4)]",1120.7999999999995,-37.822184299999996,144.947702,0,9.951,17.2915981
ORDB06629,2018-03-14,10:21:58,Breakfast,TP,"[('Eggs', 6), ('Coffee', 3)]",154.50000000000003,-37.799048299999995,144.9324169,0,12.321,14.528187699999998
ORDB06077,2018-04-30,11:53:14,Breakfast,TP,"[('Eggs', 7), ('Cereal', 7), ('Pancake', 5), ('Coffee', 8)]",482.25,-37.8046905,144.9731711,0,9.633,12.3673079
ORDY06729,2018-02-12,09:21:07,Breakfast,TP,"[('Pancake', 5), ('Coffee', 5)]",158.75,-37.8140499,144.9716334,0,8.443,10.983597
ORDZ04723,2018-01-13,08:20:16,Breakfast,NS,"[('Pancake', 5), ('Cereal', 2), ('Coffee', 5), ('Eggs', 4)]",288.75,-37.8215124,144.9450873,1,10.003,8.4457374
ORDY08327,2018-02-13,09:21:07,Breakfast,TP,"[('Eggs', 9), ('Pancake', 7)]",367.75,-37.8029182,144.9281234,0,11.512,13.676952400000001
ORDC01621,2018-03-07,10:11:49,Breakfast,NS,"[('Eggs', 10), ('Cereal', 5), ('Pancake', 2), ('Coffee', 4)]",403.5,-37.8078707,144.9730414,0,7.077,12.0038061
ORDK02917,2018-05-18,12:33:48,Lunch,BK,"[('Salad', 5), ('Burger', 6), ('Steak', 8), ('Chicken', 1), ('Fries', 8)]",759.9999999999999,-37.8014372,144.9567869,0,8.269,13.998057800000002
ORDB06075,2018-08-04,15:05:54,Lunch,TP,"[('Steak', 6), ('Chicken', 7), ('Fries', 8)]",590.0000000000002,-37.803289299999996,144.9497951,0,9.946,14.463607999999999
ORDB01198,2018-03-21,10:32:06,Breakfast,TP,"[('Eggs', 2), ('Coffee', 2)]",59.0,-37.813450700000004,144.960142,0,8.399,11.1338292
ORDZ02742,2018-01-24,08:40:33,Breakfast,NS,"[('Coffee', 2), ('Cereal', 5)]",119.99999999999997,-37.813124200000004,144.9630993,0,7.927,12.6142837
ORDX05994,2018-09-16,16:27:02,Dinner,BK,"[('Shrimp', 6), ('Fish&Chips', 9)]",639.0,-37.821239500000004,144.9574733,0,8.458,17.1792036
ORDK00765,2018-06-18,13:34:38,Lunch,BK,"[('Burger', 1), ('Salad', 5)]",116.99999999999994,-37.8227158,145.01547069999998,0,4.77,10.457424099999999
ORDZ06448,2018-02-17,09:31:16,Breakfast,NS,"[('Cereal', 9), ('Eggs', 10), ('Pancake', 6), ('Coffee', 8)]",614.5,-37.8274886,144.987492,0,9.944,16.9426896
ORDC05234,2018-04-10,11:12:40,Breakfast,NS,"[('Eggs', 8), ('Cereal', 4), ('Pancake', 8)]",454.0,-37.800399299999995,144.9704612,0,6.115,11.187637400000002
ORDI07053,2018-09-07,16:16:54,Dinner,NS,"[('Pasta', 6), ('Fish&Chips', 10), ('Salmon', 6)]",761.0,-37.8204535,144.9769006,0,8.88,15.1232572
ORDC08277,2018-06-19,13:34:38,Lunch,NS,"[('Salad', 3), ('Chicken', 3)]",147.60000000000002,-37.824608700000006,145.0050343,0,11.098,16.3846955
