order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI02496,2018-10-03,17:07:36,Dinner,NS,"[('Pasta', 9), ('Shrimp', 6)]",571.5,-37.8027335,144.9632425,0,6.997999999999999,13.0035457
ORDK03017,2018-08-19,15:36:20,Lunch,BK,"[('Steak', 6), ('Chicken', 6), ('Salad', 4), ('Burger', 7), ('Fries', 7)]",831.8,-37.802781599999996,144.9473529,0,8.932,16.4132756
ORDY09597,2018-06-02,13:04:13,Lunch,TP,"[('Burger', 6), ('Fries', 9), ('Steak', 8), ('Salad', 9)]",808.8,-37.8116287,145.0115724,0,12.045,16.7146455
ORDC03234,2018-04-14,11:22:49,Breakfast,NS,"[('Cereal', 8), ('Coffee', 4), ('Eggs', 3)]",264.0,-37.8183002,144.9968055,0,9.837,16.4894151
ORDJ03635,2018-07-03,14:05:04,Lunch,TP,"[('Salad', 9), ('Fries', 1), ('Steak', 10), ('Chicken', 6)]",808.8,-37.8197639,144.9814256,0,8.901,12.0560151
ORDC02408,2018-06-10,13:14:21,Lunch,NS,"[('Burger', 3), ('Fries', 8), ('Steak', 8), ('Salad', 7), ('Chicken', 10)]",989.4,-37.801758899999996,144.957393,0,7.45,15.1034753
ORDZ09373,2018-03-05,10:01:41,Breakfast,NS,"[('Cereal', 2), ('Pancake', 8)]",236.0,-37.820980600000006,145.00040380000002,0,10.432,15.2223455
ORDA02782,2018-07-31,14:55:46,Lunch,BK,"[('Burger', 5), ('Fries', 4), ('Steak', 2)]",293.0,-37.794305,144.98739750000001,0,6.896,13.212121100000001
ORDA03002,2018-07-06,14:05:04,Lunch,BK,"[('Chicken', 9), ('Burger', 9), ('Fries', 2), ('Salad', 8), ('Steak', 1)]",773.6,-37.7922131,144.9600395,0,9.229,15.373327100000001
ORDK02438,2018-07-28,14:55:46,Lunch,BK,"[('Chicken', 4), ('Burger', 3), ('Salad', 5), ('Steak', 6)]",577.0,-37.8048636,144.987693,0,5.812,14.2220158
ORDC00307,2018-05-02,12:03:22,Lunch,NS,"[('Burger', 7), ('Steak', 9), ('Fries', 5), ('Salad', 4)]",750.8,-37.8118954,144.9655785,0,7.649,13.3749467
ORDZ06850,2018-07-26,14:45:38,Lunch,NS,"[('Chicken', 5), ('Burger', 8), ('Fries', 8), ('Steak', 8), ('Salad', 5)]",950.0,-37.7992985,144.9701036,0,6.245,12.099838499999999
ORDC02007,2018-08-13,15:26:11,Lunch,NS,"[('Steak', 3), ('Salad', 8), ('Burger', 6), ('Chicken', 1), ('Fries', 6)]",562.6,-37.805693299999994,144.94122,0,9.357000000000001,14.6898657
